nb,memory,memoryPeak
18300,1.413,1.599,
18400,1.414,1.599,
18500,1.367,1.616,
18600,1.377,1.616,
18700,1.465,1.616,
18800,1.391,1.795,
18900,1.391,1.795,
19000,1.398,1.795,
19100,1.411,1.795,
19200,1.469,1.795,
19300,1.398,1.795,
19400,1.398,1.795,
19500,1.418,1.795,
19600,1.425,1.795,
19700,1.523,1.795,
19800,1.433,1.795,
19900,1.433,1.795,
20000,1.433,1.795,
20100,1.433,1.795,
20200,1.450,1.795,
20300,1.447,1.795,
20400,1.433,1.795,
20500,1.447,1.795,
20600,1.450,1.795,
20700,1.522,1.795,
20800,1.459,1.795,
20900,1.459,1.795,
21000,1.462,1.795,
21100,1.466,1.795,
21200,1.463,1.795,
21300,1.463,1.795,
21400,1.459,1.795,
21500,1.482,1.795,
21600,1.509,1.795,
21700,1.538,1.795,
21800,1.487,1.795,
21900,1.487,1.795,
22000,1.493,1.795,
22100,1.496,1.795,
22200,1.553,1.795,
22300,1.566,1.795,
22400,1.493,1.795,
22500,1.513,1.795,
22600,1.517,1.795,
22700,1.582,1.795,
22800,1.516,1.795,
22900,1.516,1.795,
23000,1.523,1.795,
23100,1.530,1.795,
23200,1.573,1.795,
23300,1.573,1.795,
23400,1.573,1.795,
23500,1.654,1.795,
23600,1.527,1.795,
23700,1.616,1.795,
23800,1.558,1.960,
23900,1.558,1.960,
24000,1.562,1.960,
24100,1.562,1.960,
24200,1.572,1.960,
24300,1.572,1.960,
24400,1.583,1.960,
24500,1.565,1.960,
24600,1.569,1.960,
24700,1.671,1.960,
24800,1.587,1.961,
24900,1.587,1.961,
25000,1.594,1.961,
25100,1.600,1.961,
25200,1.600,1.961,
25300,1.594,1.961,
25400,1.594,1.961,
25500,1.620,1.961,
25600,1.614,1.961,
25700,1.587,1.961,
25800,1.633,2.040,
25900,1.633,2.040,
26000,1.637,2.040,
26100,1.653,2.040,
26200,1.710,2.040,
26300,1.640,2.040,
26400,1.633,2.040,
26500,1.657,2.040,
26600,1.670,2.040,
26700,1.705,2.040,
26800,1.657,2.040,
26900,1.657,2.040,
27000,1.664,2.040,
27100,1.674,2.040,
27200,1.664,2.040,
27300,1.664,2.040,
27400,1.657,2.040,
27500,1.677,2.040,
27600,1.690,2.040,
27700,1.745,2.040,
27800,1.692,2.040,
27900,1.693,2.040,
28000,1.699,2.040,
28100,1.706,2.040,
28200,1.759,2.040,
28300,1.699,2.040,
28400,1.700,2.040,
28500,1.713,2.040,
28600,1.726,2.040,
28700,1.750,2.040,
28800,1.747,2.040,
28900,1.747,2.040,
29000,1.754,2.040,
29100,1.764,2.040,
29200,1.814,2.040,
29300,1.814,2.040,
29400,1.814,2.040,
29500,1.900,2.040,
29600,1.754,2.040,
29700,1.805,2.040,
29800,1.914,2.355,
29900,1.914,2.355,
30000,1.918,2.355,
30100,1.934,2.355,
30200,1.921,2.355,
30300,1.915,2.355,
30400,1.915,2.355,
30500,1.920,2.355,
30600,1.948,2.355,
30700,1.947,2.355,
30800,1.945,2.355,
30900,1.945,2.355,
31000,1.949,2.355,
31100,1.959,2.355,
31200,2.005,2.355,
31300,1.952,2.355,
31400,1.945,2.355,
31500,1.968,2.355,
31600,1.982,2.355,
31700,2.025,2.355,
31800,1.968,2.355,
31900,1.968,2.355,
32000,1.972,2.355,
32100,1.978,2.355,
32200,2.031,2.355,
32300,2.031,2.355,
32400,2.031,2.355,
32500,2.050,2.355,
32600,2.045,2.355,
32700,2.121,2.355,
32800,1.987,2.355,
32900,1.987,2.355,
33000,1.994,2.355,
33100,2.003,2.355,
33200,2.070,2.355,
33300,2.050,2.355,
33400,1.994,2.355,
33500,2.010,2.355,
33600,2.010,2.355,
33700,2.084,2.355,
33800,2.022,2.401,
33900,2.022,2.401,
34000,2.022,2.401,
34100,2.025,2.401,
34200,2.052,2.401,
34300,2.022,2.401,
34400,2.022,2.401,
34500,2.055,2.401,
34600,2.036,2.401,
34700,2.032,2.401,
34800,2.069,2.437,
34900,2.069,2.437,
35000,2.072,2.437,
35100,2.076,2.437,
35200,2.089,2.437,
35300,2.089,2.437,
35400,2.089,2.437,
35500,2.112,2.437,
35600,2.082,2.437,
35700,2.166,2.437,
35800,2.108,2.481,
35900,2.108,2.481,
36000,2.108,2.481,
36100,2.115,2.481,
36200,2.118,2.481,
36300,2.118,2.481,
36400,2.123,2.481,
36500,2.151,2.481,
36600,2.118,2.481,
36700,2.118,2.481,
36800,2.160,2.507,
36900,2.160,2.507,
37000,2.163,2.507,
37100,2.167,2.507,
37200,2.193,2.507,
37300,2.193,2.507,
37400,2.193,2.507,
37500,2.193,2.507,
37600,2.193,2.507,
37700,2.222,2.507,
37800,2.191,2.515,
37900,2.191,2.515,
38000,2.198,2.515,
38100,2.197,2.515,
38200,2.214,2.515,
38300,2.214,2.515,
38400,2.211,2.515,
38500,2.191,2.515,
38600,2.194,2.515,
38700,2.369,2.515,
38800,2.228,2.583,
38900,2.228,2.583,
39000,2.235,2.583,
39100,2.268,2.583,
39200,2.217,2.583,
39300,2.228,2.583,
39400,2.238,2.583,
39500,2.269,2.583,
39600,2.265,2.583,
39700,2.229,2.583,
39800,2.229,2.583,
39900,2.253,2.583,
40000,2.228,2.583,
40100,2.248,2.583,
40200,2.263,2.583,
40300,2.265,2.583,
40400,2.265,2.583,
40500,2.339,2.583,
40600,2.355,2.583,
40700,2.265,2.643,
40800,2.229,2.643,
40900,2.247,2.643,
41000,2.236,2.643,
41100,2.229,2.643,
41200,2.240,2.643,
41300,2.252,2.643,
41400,2.239,2.643,
41500,2.263,2.643,
41600,2.270,2.643,
41700,2.262,2.643,
41800,2.239,2.643,
41900,2.280,2.643,
42000,2.350,2.643,
42100,2.239,2.643,
42200,2.267,2.643,
42300,2.267,2.643,
42400,2.239,2.643,
42500,2.234,2.643,
42600,2.267,2.643,
42700,2.247,2.643,
42800,2.239,2.643,
42900,2.301,2.643,
43000,2.326,2.643,
43100,2.229,2.643,
43200,2.262,2.643,
43300,2.232,2.643,
43400,2.231,2.643,
43500,2.276,2.643,
43600,2.289,2.643,
43700,2.249,2.643,
43800,2.252,2.643,
43900,2.249,2.643,
44000,2.229,2.643,
44100,2.240,2.643,
44200,2.255,2.643,
44300,2.255,2.643,
44400,2.283,2.643,
44500,2.306,2.643,
44600,2.249,2.643,
44700,2.253,2.643,
44800,2.267,2.643,
44900,2.229,2.643,
45000,2.229,2.643,
45100,2.229,2.643,
45200,2.229,2.643,
45300,2.285,2.643,
45400,2.285,2.643,
45500,2.288,2.643,
45600,2.297,2.643,
45700,2.312,2.643,
45800,2.315,2.643,
45900,2.319,2.643,
46000,2.233,2.643,
46100,2.232,2.643,
46200,2.232,2.643,
46300,2.239,2.643,
46400,2.289,2.643,
46500,2.289,2.643,
46600,2.299,2.643,
46700,2.295,2.643,
46800,2.329,2.643,
46900,2.332,2.643,
47000,2.232,2.643,
47100,2.232,2.643,
47200,2.239,2.643,
47300,2.249,2.643,
47400,2.279,2.643,
47500,2.301,2.643,
47600,2.265,2.643,
47700,2.282,2.643,
47800,2.282,2.643,
47900,2.300,2.643,
48000,2.300,2.643,
48100,2.262,2.643,
48200,2.246,2.643,
48300,2.273,2.643,
48400,2.249,2.643,
48500,2.249,2.643,
48600,2.283,2.643,
48700,2.278,2.643,
48800,2.232,2.643,
48900,2.252,2.643,
49000,2.289,2.643,
49100,2.289,2.643,
49200,2.289,2.643,
49300,2.309,2.643,
49400,2.309,2.643,
49500,2.309,2.643,
49600,2.232,2.643,
49700,2.232,2.643,
49800,2.232,2.643,
49900,2.242,2.643,
50000,2.262,2.643,
50100,2.262,2.643,
50200,2.257,2.643,
50300,2.304,2.643,
50400,2.232,2.643,
50500,2.232,2.643,
50600,2.232,2.643,
50700,2.221,2.643,
50800,2.232,2.643,
50900,2.232,2.643,
51000,2.246,2.643,
51100,2.246,2.643,
51200,2.246,2.643,
51300,2.246,2.643,
51400,2.279,2.643,
51500,2.246,2.643,
51600,2.236,2.643,
51700,2.232,2.643,
51800,2.232,2.643,
51900,2.276,2.643,
52000,2.276,2.643,
52100,2.247,2.643,
52200,2.279,2.643,
52300,2.279,2.643,
52400,2.302,2.643,
52500,2.279,2.643,
52600,2.279,2.643,
52700,2.289,2.643,
52800,2.335,2.643,
52900,2.347,2.643,
53000,2.232,2.644,
53100,2.236,2.644,
53200,2.270,2.644,
53300,2.232,2.644,
53400,2.232,2.644,
53500,2.251,2.644,
53600,2.232,2.644,
53700,2.224,2.644,
53800,2.246,2.644,
53900,2.252,2.644,
54000,2.306,2.644,
54100,2.321,2.644,
54200,2.232,2.644,
54300,2.262,2.644,
54400,2.285,2.644,
54500,2.285,2.644,
54600,2.292,2.644,
54700,2.232,2.644,
54800,2.232,2.644,
54900,2.232,2.644,
55000,2.276,2.644,
55100,2.224,2.644,
55200,2.242,2.644,
55300,2.249,2.644,
55400,2.260,2.644,
55500,2.270,2.644,
55600,2.265,2.644,
55700,2.246,2.644,
55800,2.332,2.644,
55900,2.442,2.644,
56000,2.232,2.644,
56100,2.250,2.644,
56200,2.262,2.644,
56300,2.232,2.644,
56400,2.244,2.644,
56500,2.270,2.644,
56600,2.246,2.644,
56700,2.246,2.644,
56800,2.280,2.644,
56900,2.332,2.644,
57000,2.239,2.644,
57100,2.249,2.644,
57200,2.302,2.644,
57300,2.221,2.644,
57400,2.252,2.644,
57500,2.292,2.644,
57600,2.282,2.644,
57700,2.233,2.644,
57800,2.233,2.644,
57900,2.232,2.644,
58000,2.269,2.644,
58100,2.272,2.644,
58200,2.282,2.644,
58300,2.280,2.644,
58400,2.291,2.644,
58500,2.291,2.644,
58600,2.298,2.644,
58700,2.288,2.644,
58800,2.285,2.644,
58900,2.291,2.644,
59000,2.308,2.644,
59100,2.352,2.644,
59200,2.364,2.644,
59300,2.232,2.685,
59400,2.236,2.685,
59500,2.270,2.685,
59600,2.232,2.685,
59700,2.232,2.685,
59800,2.236,2.685,
59900,2.232,2.685,
60000,2.252,2.685,
60100,2.269,2.685,
60200,2.262,2.685,
60300,2.301,2.685,
60400,2.249,2.685,
60500,2.265,2.685,
60600,2.246,2.685,
60700,2.249,2.685,
60800,2.246,2.685,
60900,2.246,2.685,
61000,2.237,2.685,
61100,2.237,2.685,
61200,2.253,2.685,
61300,2.247,2.685,
61400,2.240,2.685,
61500,2.260,2.685,
61600,2.280,2.685,
61700,2.280,2.685,
61800,2.280,2.685,
61900,2.314,2.685,
62000,2.314,2.685,
62100,2.232,2.685,
62200,2.244,2.685,
62300,2.247,2.685,
62400,2.254,2.685,
62500,2.232,2.685,
62600,2.263,2.685,
62700,2.260,2.685,
62800,2.268,2.685,
62900,2.293,2.685,
63000,2.253,2.685,
63100,2.253,2.685,
63200,2.294,2.685,
63300,2.253,2.685,
63400,2.270,2.685,
63500,2.247,2.685,
63600,2.257,2.685,
63700,2.255,2.685,
63800,2.267,2.685,
63900,2.257,2.685,
64000,2.244,2.685,
64100,2.268,2.685,
64200,2.244,2.685,
64300,2.240,2.685,
64400,2.280,2.685,
64500,2.229,2.685,
64600,2.240,2.685,
64700,2.247,2.685,
64800,2.240,2.685,
64900,2.247,2.685,
65000,2.240,2.685,
65100,2.240,2.685,
65200,2.244,2.685,
65300,2.240,2.685,
65400,2.240,2.685,
65500,2.263,2.702,
65600,2.263,2.702,
65700,2.267,2.702,
65800,2.270,2.702,
65900,2.280,2.702,
66000,2.280,2.702,
66100,2.283,2.702,
66200,2.290,2.702,
66300,2.267,2.702,
66400,2.263,2.702,
66500,1.037,2.735,
66600,1.037,2.735,
66700,1.037,2.735,
66800,1.037,2.735,
66900,1.080,2.735,
67000,1.087,2.735,
67100,1.037,2.735,
67200,1.047,2.735,
67300,1.071,2.735,
67400,1.074,2.735,
67500,1.059,2.735,
67600,1.059,2.735,
67700,1.066,2.735,
67800,1.066,2.735,
67900,1.102,2.735,
68000,1.102,2.735,
68100,1.102,2.735,
68200,1.097,2.735,
68300,1.074,2.735,
68400,1.073,2.735,
68500,1.076,2.735,
68600,1.076,2.735,
68700,1.082,2.735,
68800,1.092,2.735,
68900,1.079,2.735,
69000,1.079,2.735,
69100,1.122,2.735,
69200,1.076,2.735,
69300,1.074,2.735,
69400,1.079,2.735,
69500,1.086,2.735,
69600,1.096,2.735,
69700,1.115,2.735,
69800,1.106,2.735,
69900,1.106,2.735,
70000,1.076,2.735,
70100,1.105,2.735,
70200,1.105,2.735,
70300,1.109,2.735,
70400,1.192,2.735,
70500,1.168,2.735,
70600,1.168,2.735,
70700,1.076,2.735,
70800,1.083,2.735,
70900,1.102,2.735,
71000,1.096,2.735,
71100,1.099,2.735,
71200,1.099,2.735,
71300,1.099,2.735,
71400,1.117,2.735,
71500,1.128,2.735,
71600,1.099,2.735,
71700,1.125,2.735,
71800,1.127,2.735,
71900,1.082,2.735,
72000,1.079,2.735,
72100,1.112,2.735,
72200,1.112,2.735,
72300,1.065,2.735,
72400,1.125,2.735,
72500,1.129,2.735,
72600,1.170,2.735,
72700,1.181,2.735,
72800,1.129,2.735,
72900,1.163,2.735,
73000,1.197,2.735,
73100,1.076,2.735,
73200,1.076,2.735,
73300,1.148,2.735,
73400,1.148,2.735,
73500,1.152,2.735,
73600,1.192,2.735,
73700,1.192,2.735,
73800,1.192,2.735,
73900,1.293,2.735,
74000,1.076,2.735,
74100,1.076,2.735,
74200,1.076,2.735,
74300,1.156,2.735,
74400,1.168,2.735,
74500,1.168,2.735,
74600,1.316,2.735,
74700,1.076,2.735,
74800,1.076,2.735,
74900,1.112,2.735,
75000,1.079,2.735,
75100,1.068,2.735,
75200,1.095,2.735,
75300,1.095,2.735,
75400,1.138,2.735,
75500,1.073,2.735,
75600,1.076,2.735,
75700,1.079,2.735,
75800,1.096,2.735,
75900,1.076,2.735,
76000,1.076,2.735,
76100,1.076,2.735,
76200,1.110,2.735,
76300,1.122,2.735,
76400,1.086,2.735,
76500,1.097,2.735,
76600,1.107,2.735,
76700,1.076,2.735,
76800,1.076,2.735,
76900,1.119,2.735,
77000,1.119,2.735,
77100,1.065,2.735,
77200,1.171,2.735,
77300,1.171,2.735,
77400,1.171,2.735,
77500,1.251,2.735,
77600,1.178,2.735,
77700,1.178,2.735,
77800,1.404,2.735,
77900,1.078,2.735,
78000,1.123,2.735,
78100,1.130,2.735,
78200,1.130,2.735,
78300,1.143,2.735,
78400,1.081,2.735,
78500,1.069,2.735,
78600,1.080,2.735,
78700,1.087,2.735,
78800,1.127,2.735,
78900,1.123,2.735,
79000,1.123,2.735,
79100,1.140,2.735,
79200,1.140,2.735,
79300,1.077,2.735,
79400,1.077,2.735,
79500,1.077,2.735,
79600,1.081,2.735,
79700,1.110,2.735,
79800,1.086,2.735,
79900,1.097,2.735,
80000,1.094,2.735,
80100,1.150,2.735,
80200,1.082,2.735,
80300,1.094,2.735,
80400,1.097,2.735,
80500,1.110,2.735,
80600,1.092,2.735,
80700,1.103,2.735,
80800,1.087,2.735,
80900,1.116,2.735,
81000,1.116,2.735,
81100,1.113,2.735,
81200,1.146,2.735,
81300,1.143,2.735,
81400,1.148,2.735,
81500,1.177,2.735,
81600,1.160,2.735,
81700,1.163,2.735,
81800,1.166,2.735,
81900,1.089,2.735,
82000,1.089,2.735,
82100,1.089,2.735,
82200,1.099,2.735,
82300,1.089,2.735,
82400,1.074,2.735,
82500,1.089,2.735,
82600,1.121,2.735,
82700,1.089,2.735,
82800,1.089,2.735,
82900,1.085,2.735,
83000,1.098,2.735,
83100,1.125,2.735,
83200,1.074,2.735,
83300,1.089,2.735,
83400,1.108,2.735,
83500,1.106,2.735,
83600,1.118,2.735,
83700,1.086,2.735,
83800,1.081,2.735,
83900,1.129,2.735,
84000,1.081,2.735,
84100,1.081,2.735,
84200,1.101,2.735,
84300,1.081,2.735,
84400,1.081,2.735,
84500,1.081,2.735,
84600,1.088,2.735,
84700,1.088,2.735,
84800,1.306,2.735,
84900,1.123,2.735,
85000,1.123,2.735,
85100,1.129,2.735,
85200,1.143,2.735,
85300,1.129,2.735,
85400,1.123,2.735,
85500,1.121,2.735,
85600,1.129,2.735,
85700,1.136,2.735,
85800,1.286,2.735,
85900,1.161,2.735,
86000,1.161,2.735,
86100,1.167,2.735,
86200,1.170,2.735,
86300,1.180,2.735,
86400,1.180,2.735,
86500,1.174,2.735,
86600,1.187,2.735,
86700,1.187,2.735,
86800,1.390,2.735,
86900,1.204,2.735,
87000,1.204,2.735,
87100,1.210,2.735,
87200,1.220,2.735,
87300,1.250,2.735,
87400,1.210,2.735,
87500,1.210,2.735,
87600,1.247,2.735,
87700,1.247,2.735,
87800,1.273,2.735,
87900,1.232,2.735,
88000,1.232,2.735,
88100,1.235,2.735,
88200,1.248,2.735,
88300,1.242,2.735,
88400,1.235,2.735,
88500,1.235,2.735,
88600,1.282,2.735,
88700,1.272,2.735,
88800,1.447,2.735,
88900,1.282,2.735,
89000,1.283,2.735,
89100,1.283,2.735,
89200,1.288,2.735,
89300,1.322,2.735,
89400,1.283,2.735,
89500,1.283,2.735,
89600,1.302,2.735,
89700,1.302,2.735,
89800,1.309,2.735,
89900,1.319,2.735,
90000,1.319,2.735,
90100,1.325,2.735,
90200,1.338,2.735,
90300,1.382,2.735,
90400,1.382,2.735,
90500,1.325,2.735,
90600,1.349,2.735,
90700,1.343,2.735,
90800,1.505,2.735,
90900,1.331,2.735,
91000,1.334,2.735,
91100,1.337,2.735,
91200,1.367,2.735,
91300,1.337,2.735,
91400,1.337,2.735,
91500,1.354,2.735,
91600,1.331,2.735,
91700,1.331,2.735,
91800,1.411,2.735,
91900,1.364,2.735,
92000,1.364,2.735,
92100,1.371,2.735,
92200,1.387,2.735,
92300,1.424,2.735,
92400,1.371,2.735,
92500,1.371,2.735,
92600,1.397,2.735,
92700,1.394,2.735,
92800,1.413,2.735,
92900,1.384,2.735,
93000,1.384,2.735,
93100,1.391,2.735,
93200,1.411,2.735,
93300,1.437,2.735,
93400,1.391,2.735,
93500,1.398,2.735,
93600,1.421,2.735,
93700,1.421,2.735,
93800,1.466,2.735,
93900,1.418,2.735,
94000,1.418,2.735,
94100,1.425,2.735,
94200,1.458,2.735,
94300,1.575,2.735,
94400,1.418,2.735,
94500,1.425,2.735,
94600,1.444,2.735,
94700,1.445,2.735,
94800,1.503,2.735,
94900,1.456,2.735,
95000,1.456,2.735,
95100,1.459,2.735,
95200,1.469,2.735,
95300,1.486,2.735,
95400,1.486,2.735,
95500,1.492,2.735,
95600,1.522,2.735,
95700,1.489,2.735,
95800,1.505,2.735,
95900,1.492,2.735,
96000,1.492,2.735,
96100,1.499,2.735,
96200,1.512,2.735,
96300,1.552,2.735,
96400,1.539,2.735,
96500,1.499,2.735,
96600,1.528,2.735,
96700,1.528,2.735,
96800,1.760,2.735,
96900,1.511,2.735,
97000,1.511,2.735,
97100,1.518,2.735,
97200,1.518,2.735,
97300,1.544,2.735,
97400,1.549,2.735,
97500,1.511,2.735,
97600,1.534,2.735,
97700,1.534,2.735,
97800,1.560,2.735,
97900,1.531,2.735,
98000,1.531,2.735,
98100,1.538,2.735,
98200,1.564,2.735,
98300,1.591,2.735,
98400,1.591,2.735,
98500,1.591,2.735,
98600,1.618,2.735,
98700,1.618,2.735,
98800,1.760,2.735,
98900,1.580,2.735,
99000,1.580,2.735,
99100,1.587,2.735,
99200,1.590,2.735,
99300,1.627,2.735,
99400,1.627,2.735,
99500,1.581,2.735,
99600,1.607,2.735,
99700,1.607,2.735,
99800,1.659,2.735,
99900,1.613,2.735,
100000,1.613,2.735,
100100,1.619,2.735,
100200,1.639,2.735,
100300,1.669,2.735,
100400,1.619,2.735,
100500,1.619,2.735,
100600,1.636,2.735,
100700,1.636,2.735,
100800,1.719,2.735,
100900,1.653,2.735,
101000,1.653,2.735,
101100,1.659,2.735,
101200,1.692,2.735,
101300,1.669,2.735,
101400,1.663,2.735,
101500,1.669,2.735,
101600,1.721,2.735,
101700,1.706,2.735,
101800,1.841,2.735,
101900,1.696,2.735,
102000,1.696,2.735,
102100,1.703,2.735,
102200,1.716,2.735,
102300,1.752,2.735,
102400,1.746,2.735,
102500,1.703,2.735,
102600,1.739,2.735,
102700,1.739,2.735,
102800,1.938,2.735,
102900,1.718,2.735,
103000,1.718,2.735,
103100,1.718,2.735,
103200,1.721,2.735,
103300,1.734,2.735,
103400,1.748,2.735,
103500,1.727,2.735,
103600,1.760,2.735,
103700,1.751,2.735,
103800,1.790,2.735,
103900,1.750,2.735,
104000,1.750,2.735,
104100,1.756,2.735,
104200,1.789,2.735,
104300,1.813,2.735,
104400,1.813,2.735,
104500,1.816,2.735,
104600,1.836,2.735,
104700,1.756,2.735,
104800,2.008,2.735,
104900,1.791,2.735,
105000,1.791,2.735,
105100,1.791,2.735,
105200,1.804,2.735,
105300,1.791,2.735,
105400,1.791,2.735,
105500,1.804,2.735,
105600,1.824,2.735,
105700,1.798,2.735,
105800,2.033,2.735,
105900,1.839,2.735,
106000,1.839,2.735,
106100,1.846,2.735,
106200,1.896,2.735,
106300,1.839,2.735,
106400,1.839,2.735,
106500,1.862,2.735,
106600,1.872,2.735,
106700,1.872,2.735,
106800,2.035,2.735,
106900,1.889,2.735,
107000,1.889,2.735,
107100,1.895,2.735,
107200,1.912,2.735,
107300,1.895,2.735,
107400,1.889,2.735,
107500,1.887,2.735,
107600,1.909,2.735,
107700,1.909,2.735,
107800,1.931,2.735,
107900,1.913,2.735,
108000,1.913,2.735,
108100,1.919,2.735,
108200,1.931,2.735,
108300,1.963,2.735,
108400,1.963,2.735,
108500,1.946,2.735,
108600,1.926,2.735,
108700,1.933,2.735,
108800,2.086,2.735,
108900,1.940,2.735,
109000,1.940,2.735,
109100,1.943,2.735,
109200,1.966,2.735,
109300,1.949,2.735,
109400,1.943,2.735,
109500,1.943,2.735,
109600,1.979,2.735,
109700,1.986,2.735,
109800,1.950,2.735,
109900,1.976,2.735,
110000,1.976,2.735,
110100,1.982,2.735,
110200,2.009,2.735,
110300,2.042,2.735,
110400,2.062,2.735,
110500,1.986,2.735,
110600,2.009,2.735,
110700,2.003,2.735,
110800,2.249,2.735,
110900,2.007,2.735,
111000,2.007,2.735,
111100,2.013,2.735,
111200,2.017,2.735,
111300,2.017,2.735,
111400,2.013,2.735,
111500,2.017,2.735,
111600,2.030,2.735,
111700,2.007,2.735,
111800,2.286,2.735,
111900,2.040,2.735,
112000,2.040,2.735,
112100,2.047,2.735,
112200,2.047,2.735,
112300,2.053,2.735,
112400,2.053,2.735,
112500,2.057,2.735,
112600,2.044,2.735,
112700,2.044,2.735,
112800,2.303,2.735,
112900,2.077,2.735,
113000,2.080,2.735,
113100,2.083,2.735,
113200,2.117,2.735,
113300,2.122,2.735,
113400,2.122,2.735,
113500,2.146,2.735,
113600,2.085,2.735,
113700,2.076,2.735,
113800,2.077,2.735,
113900,2.152,2.735,
114000,2.077,2.735,
114100,2.103,2.735,
114200,2.110,2.735,
114300,2.110,2.735,
114400,2.164,2.735,
114500,2.123,2.735,
114600,2.077,2.735,
114700,2.093,2.735,
114800,2.106,2.735,
114900,2.110,2.735,
115000,2.110,2.735,
115100,2.110,2.735,
115200,2.110,2.735,
115300,2.137,2.735,
115400,2.110,2.735,
115500,2.110,2.735,
115600,2.125,2.735,
115700,2.140,2.735,
115800,2.110,2.735,
115900,2.420,2.735,
116000,2.146,2.735,
116100,2.146,2.735,
116200,2.146,2.735,
116300,2.173,2.735,
116400,2.190,2.735,
